-1.7000, 1.8448
-1.6900, 1.7882
-1.6800, 1.7316
-1.6700, 1.6752
-1.6600, 1.6191
-1.6500, 1.5633
-1.6400, 1.5081
-1.6300, 1.4539
-1.6200, 1.4018
-1.6100, 1.3526
-1.6000, 1.3075
-1.5900, 1.2673
-1.5800, 1.2321
-1.5700, 1.2014
-1.5600, 1.1746
-1.5500, 1.1517
-1.5400, 1.1328
-1.5300, 1.1179
-1.5200, 1.1064
-1.5100, 1.0979
-1.5000, 1.0918
-1.4900, 1.0877
-1.4800, 1.0851
-1.4700, 1.0837
-1.4600, 1.0834
-1.4500, 1.0839
-1.4400, 1.0851
-1.4300, 1.0867
-1.4200, 1.0887
-1.4100, 1.0909
-1.4000, 1.0932
-1.3900, 1.0955
-1.3800, 1.0980
-1.3700, 1.1004
-1.3600, 1.1029
-1.3500, 1.1055
-1.3400, 1.1081
-1.3300, 1.1108
-1.3200, 1.1136
-1.3100, 1.1164
-1.3000, 1.1193
-1.2900, 1.1224
-1.2800, 1.1255
-1.2700, 1.1287
-1.2600, 1.1320
-1.2500, 1.1354
-1.2400, 1.1389
-1.2300, 1.1426
-1.2200, 1.1463
-1.2100, 1.1502
-1.2000, 1.1543
-1.1900, 1.1586
-1.1800, 1.1632
-1.1700, 1.1681
-1.1600, 1.1732
-1.1500, 1.1787
-1.1400, 1.1845
-1.1300, 1.1907
-1.1200, 1.1972
-1.1100, 1.2042
-1.1000, 1.2116
-1.0900, 1.2192
-1.0800, 1.2269
-1.0700, 1.2345
-1.0600, 1.2422
-1.0500, 1.2499
-1.0400, 1.2576
-1.0300, 1.2655
-1.0200, 1.2737
-1.0100, 1.2820
-1.0000, 1.2908
-0.9900, 1.2999
-0.9800, 1.3096
-0.9700, 1.3200
-0.9600, 1.3311
-0.9500, 1.3430
-0.9400, 1.3554
-0.9300, 1.3682
-0.9200, 1.3811
-0.9100, 1.3941
-0.9000, 1.4069
-0.8900, 1.4194
-0.8800, 1.4318
-0.8700, 1.4439
-0.8600, 1.4559
-0.8500, 1.4678
-0.8400, 1.4795
-0.8300, 1.4911
-0.8200, 1.5027
-0.8100, 1.5142
-0.8000, 1.5257
-0.7900, 1.5371
-0.7800, 1.5485
-0.7700, 1.5598
-0.7600, 1.5712
-0.7500, 1.5825
-0.7400, 1.5938
-0.7300, 1.6051
-0.7200, 1.6164
-0.7100, 1.6276
-0.7000, 1.6389
