"t_IDs" "AKN" "ALPHAT" "ALD" "ALMAVE" "AGREF" "AGRE1" "AGRE2" "RAUTEFR" "RQLCR" "RAUTEFS" "RQICRMIN" "RQICRMAX" "TFVL" "TFVI" "TFVR" "TFVS" "RKDN" "RKDX" "TENTR" "TENTRX" "VVN" "VVX" "ALFX" "REFLCAPE" "FNEBC" "GCVTURB" "RLWINHF_ICE" "RLWINHF_LIQ" "RSWINHF_ICE" "RSWINHF_LIQ"
"SCM_1-001" 0.175048681961761 1.48854437251381 1.44980515477364 15.5323790811701 -0.238846715553524 2.27091357610965 5.2354862461177 0.00699616510930471 0.000440766334761051 0.0039516327228824 6.90778308537945e-08 5.73473746434048e-05 0.118637194852099 0.0971649989264994 3.08615796207745 2.44612492568442 4.82340744362213e-05 0.0002617959471394 4.59908718784029e-06 9.11616035868181e-05 -3.14798074088991 -38.0830478079345 0.0710035650643287 6.73169149910115 14.2548487507117 6.26071310634259e-05 0.864952200373324 0.677901328788139 0.768798678809544 0.744990274258889
"SCM_1-002" 0.121134790224815 0.670765865120726 1.37880551003424 17.4674647932174 -0.225716492637084 3.0885196281209 6.59083080574249 0.00397419544608138 0.000526718059952914 0.00540095182137952 1.53864957364546e-07 6.53309902826673e-05 0.1307185274778 0.179117536086324 2.15559039674335 2.21659654947968 3.235049118069e-05 0.000169444803828622 7.02476803008467e-06 0.000110783179444796 -2.93419401813298 -41.2022195857911 0.127523320239914 3.17805743062496 8.21856207872431 5.32821016000118e-05 0.782406305475937 0.777564460440384 0.721308568230985 0.837601803103462
"SCM_1-003" 0.16768026160961 1.88015840214794 1.97322196526996 14.3576321061468 -0.250957195767046 4.86566404778666 7.35333211969119 0.00640569448404363 0.000641821695305756 0.00499852482053451 3.30693160279483e-07 6.15799087107531e-05 0.0546261739142293 0.151274792383259 3.87701343838102 3.13972909937822 4.96333351502195e-05 0.000470833521462139 6.94296720258271e-06 7.52270536152413e-05 -4.30129617020798 -32.742882127796 0.0567410605878104 4.81035051575303 12.8829914999815 7.38802517641569e-05 0.802851237211532 0.616178314776626 0.800513872343581 0.733551585920698
"SCM_1-004" 0.173486811517815 2.08663605967692 2.07060517204421 21.3387774780393 -0.278888892727889 2.64239326526877 4.22270906949416 0.00815250784282068 0.000210191719070775 0.00629591292731231 3.37349073451048e-07 3.8409802766478e-05 0.108131053153222 0.111874117817893 3.36084634858261 5.07432520544544 3.37028725911863e-05 0.000267003553131378 6.75273060494413e-06 7.12010349102784e-05 -3.44033318951726 -33.8808591650256 0.0749641985109386 6.22661552875086 3.64671837355321 7.70370712073054e-05 0.779811729548189 0.660804465429004 0.648203861309836 0.738744124093792
"SCM_1-005" 0.160020965051961 2.37083806707912 1.83585045300618 15.0601405515568 -0.301109122789923 5.39131090632485 3.78226012046604 0.00302275308697058 0.000393617154996881 0.00391881436156885 1.22644874107072e-07 6.30003500583892e-05 0.121064363139842 0.0642993373928095 4.28443422015035 1.97092717324345 3.58360907482915e-05 0.000285127743568985 5.85740366681789e-06 7.44174111781642e-05 -4.61125010395733 -35.1475080915067 0.0885270208125624 5.48698093457256 8.10417638338792 7.72960297406884e-05 0.906630853405998 0.754323970330491 0.828823110652932 0.746474828063898
"SCM_1-006" 0.13418561382705 1.72402906598484 1.55860626852955 8.4684880974004 -0.13441096751284 3.78508707988852 4.29938392829305 0.00623784540208833 0.000546105895054798 0.0071612610810316 1.00332895880987e-07 7.01742702127085e-05 0.115949180539652 0.128359993258351 3.34398795345721 2.75347014892482 4.20756915514823e-05 0.000370467114488066 3.35867352378244e-06 8.71422930039e-05 -2.63963025161996 -38.8102817871841 0.0426506379653855 7.47680337035703 11.5902952522505 6.33786941763246e-05 0.831459206679137 0.778509704742658 0.715348170945654 0.721524325300707
"SCM_1-007" 0.0899399789166326 1.68879066665152 1.35968817013199 15.1497824128019 -0.261029155985902 5.57173368586227 8.30561672712987 0.00539743368561729 0.000431278227817927 0.0045110670876309 1.07155184271481e-07 8.17162386137138e-05 0.119112686043912 0.138311134162378 1.95904754152809 2.33353307845211 4.31295075929724e-05 0.000278229262838978 6.97663362531612e-06 8.30313108507078e-05 -3.64545624185974 -35.8364816253694 0.0681892698809504 6.07460093293324 6.62986659811189 8.79220544919372e-05 0.84572913470678 0.781435758879331 0.72920294488819 0.549863491267897
"SCM_1-008" 0.155451286838437 1.51879121951642 1.81365375490471 10.9556092876941 -0.193976737663848 7.19706997878384 7.32480159428281 0.00502443450314458 0.000464431355168888 0.00730346754585742 1.47783679412636e-07 4.24074228242234e-05 0.143549770649344 0.0981513443984774 3.66764537966748 3.33328308148193 3.41469986130949e-05 0.000309763303294467 6.31583265472824e-06 0.000101652208205801 -3.10658131871062 -37.8156446563468 0.111742753721292 2.68989354277619 7.34839595815477 5.11827219788916e-05 0.883922876999714 0.812567156427928 0.703568485822373 0.950551744484886
"SCM_1-009" 0.203120708087599 1.31553183145588 1.73870192353885 22.5556574212154 -0.289016134303288 2.25356411195826 4.53612582040951 0.00194197429876736 0.000503745433513386 0.00164201215219335 1.72870379917907e-07 5.95235647753657e-05 0.0565121772552018 0.134477456826675 2.61785259603538 2.86913235108702 3.43423115220387e-05 0.000314011036552737 7.49711663823575e-06 4.74946290031308e-05 -2.64866507790983 -44.3578058837253 0.106761067175873 4.89530750249932 17.6033757806445 5.99117110713152e-05 0.77271279909648 0.843013354367188 0.750640034569272 0.822477700250456
"SCM_1-010" 0.121906199751763 2.11587570573126 1.42740658621963 25.5876809078269 -0.214612855123209 5.18180582123653 4.67836825980339 0.00798341976090024 0.000442791559314937 0.00654684980773639 2.55093862756361e-08 6.0486308388575e-05 0.0862846455761798 0.173148064777364 1.12128654786572 2.93599203213987 2.99520578533877e-05 0.00039029209490347 5.17860449415321e-06 7.74666843762388e-05 -3.80965314835931 -40.9954280931658 0.078215234187548 2.03254490208967 7.63464185216774 4.6376089307107e-05 0.714511626842432 0.736507028358756 0.649420246586669 0.877466711273494
